碳排放_carbon_emission_kg (kgCO2/KM/d),人口密度 (千人/km²),办公POI数量 (个),居住POI数量 (个),道路密度 (KM/KM²),地铁站点数量 (个),公交站点数量 (个),标准化土地混合熵,到市中心距离 (km),到最近公交距离 (km)
-0.570388134299542,-0.627688336956703,-0.449051721211922,-0.368759209803162,-0.629848562509748,-0.246380605088077,-0.521832175846149,-0.629331081225301,0.9359509754287004,-0.600685353415127
-0.570388134299542,-0.627688336956703,-0.486960091309407,-0.368759209803162,-0.381953806084084,-0.246380605088077,-0.521832175846149,0.0474603252069086,1.0001177210788743,-0.409996264235418
-0.554002986842546,-0.627688336956703,-0.486960091309407,-0.334220927486322,-0.486150404255536,-0.246380605088077,-0.521832175846149,0.3845013929135819,0.4604843128444576,0.2666643517745857
-0.391384871695189,-0.627688336956703,-0.145784760432042,-0.161529515902122,-0.122846012533871,-0.246380605088077,-0.521832175846149,0.8858518247652809,0.4154015056163936,0.167803297360985
-0.204166678978973,-0.627688336956703,-0.449051721211922,-0.265144362852642,-0.447265817344743,-0.246380605088077,-0.521832175846149,0.3358801858640552,0.3735864366202327,0.0994486193089524
-0.25306312747204,-0.627688336956703,-0.449051721211922,-0.299682645169482,-0.135062858881237,-0.246380605088077,-0.521832175846149,-0.0815652549596147,0.3351907461331623,-0.056749397744428
-0.347059744180144,-0.627688336956703,-0.449051721211922,-0.265144362852642,1.0141505489588103,-0.246380605088077,-0.521832175846149,-0.22939900731161,0.300362041145208,-0.138952042132579
0.0346213008696076,-0.627688336956703,-0.449051721211922,-0.299682645169482,0.3960294866912501,-0.246380605088077,-0.521832175846149,0.8892915045623826,0.2692416418334065,-0.118481252174836
0.259087967045402,-0.627688336956703,-0.411143351114437,-0.265144362852642,0.0987023180513753,-0.246380605088077,-0.521832175846149,0.779146342928483,0.2419621959688777,-0.0415442720811333
0.4129089275281739,-0.627688336956703,0.7261077518101137,-0.0579146689516027,-1.11691339510856,-0.246380605088077,-0.521832175846149,0.987468884515601,0.2186452262422021,0.0583859182954023
0.2988259758780265,-0.627688336956703,0.4607491611277183,0.0802384603157571,0.8942248667092461,-0.246380605088077,-0.521832175846149,0.5926098543712254,0.1993986922629171,0.1165232201088091
-0.124844097401455,-0.627688336956703,0.233298940542808,0.0457001779989171,-0.0589492468462345,-0.246380605088077,-0.521832175846149,0.8692127590297476,0.1843146741445937,-0.0499073628411549
-0.314005470211079,-0.627688336956703,-0.449051721211922,-0.368759209803162,0.6211078281703608,-0.246380605088077,-0.521832175846149,0.2906868537967391,0.1734672887795591,-0.147228470884391
-0.412017849237129,-0.627688336956703,0.0058487199578977,0.0802384603157571,0.2906551089394467,-0.246380605088077,-0.521832175846149,0.5904152242520291,0.1669109184627762,-0.146867435455059
-0.457529103709545,-0.627688336956703,0.4228407910302332,-0.0579146689516027,-0.130032434921095,-0.246380605088077,-0.521832175846149,0.6950458181534795,0.1646788881245912,-0.15226301122906
-0.446859851256679,-0.627688336956703,1.5221835238572996,-0.161529515902122,0.3710283712718053,-0.246380605088077,-0.521832175846149,0.8480118143528765,0.1667826226168871,-0.103056537356903
-0.350463397790889,-0.634319577956829,-0.107876390334557,-0.368759209803162,0.1123735726496902,-0.246380605088077,-0.521832175846149,0.6728516629926347,0.1732113532306503,-0.28797519553024
-0.0510688624410639,-0.634319577956829,-0.486960091309407,-0.368759209803162,-0.870991551483526,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.1839323965042825,-0.374228300217467
0.0816118747508561,-0.634319577956829,-0.259509870724497,-0.161529515902122,-1.0040895137685,-0.246380605088077,-0.521832175846149,0.2215564969093474,0.1988919696855073,-0.587937454794581
-0.16190313342717,-0.634319577956829,0.5744742714201735,1.9798439877419551,-0.579890418480401,-0.246380605088077,1.3355365856401449,0.312691695053174,0.2180165218838334,-0.700186885821821
-0.194343018882327,-0.640950819956954,-0.297418240821982,-0.299682645169482,-0.010377945563718,-0.246380605088077,-0.521832175846149,0.2337137684980692,0.2412144719058277,-0.599951905600389
-0.313752913446,-0.640950819956954,0.1574822003478379,-0.230606080535802,-0.218451267830975,-0.246380605088077,-0.521832175846149,0.6572915812243533,0.2683783024619058,-0.424262153394476
-0.377557131510176,-0.640950819956954,0.0437570900553827,-0.334220927486322,-0.176803875823313,-0.246380605088077,-0.521832175846149,0.4053527535234879,0.29938685771453,-0.182594017415488
-0.260482251956259,-0.640950819956954,0.0816654601528678,-0.265144362852642,-0.568860048905268,-0.246380605088077,-0.521832175846149,0.6696731505818496,0.3341077791824067,0.070926362031302
-0.269358138852381,-0.640950819956954,-0.221601500627012,-0.368759209803162,-0.633344438526049,-0.246380605088077,-0.521832175846149,0.1303040363471007,0.3723999730892352,0.3281139873461821
-0.383324265751854,-0.640950819956954,-0.0699680202370724,-0.299682645169482,0.7282039043521298,-0.246380605088077,-0.521832175846149,0.4120048830027257,0.4141159833788118,0.5868838076358609
-0.529296345469811,-0.640950819956954,0.3470240508352631,-0.368759209803162,0.5057172569410922,-0.246380605088077,-0.521832175846149,-0.347057314468058,0.459104259914983,0.8464757420955364
-0.524356468113468,-0.640950819956954,-0.259509870724497,-0.265144362852642,-0.306853072546187,-0.246380605088077,-0.521832175846149,0.6068550758789707,0.5072112044734692,0.7884743836180808
-0.570388134299542,-0.64758206195708,0.4228407910302332,-0.196067798218962,0.3043001211468589,-0.246380605088077,-0.521832175846149,0.9786821012969767,0.558283019681196,0.5439831386715288
-0.570388134299542,-0.64758206195708,-0.335326610919467,-0.299682645169482,0.9454905763593804,-0.246380605088077,-0.521832175846149,0.7418310527664806,0.6121672854362243,0.299497207988546
-0.570388134299542,-0.64758206195708,-0.373234981016952,-0.334220927486322,0.4431621212999171,-0.246380605088077,-0.521832175846149,-0.127218732802692,0.6687142942528238,0.0652809766711017
-0.570388134299542,-0.64758206195708,-0.373234981016952,-0.368759209803162,-0.237595087976407,-0.246380605088077,-0.521832175846149,-0.08026501871497,0.72777814553169,-0.146957152851234
-0.570388134299542,-0.624307703956639,-0.449051721211922,-0.368759209803162,-0.310396941567614,-0.246380605088077,-0.521832175846149,-0.739924436102739,0.7892175903700918,-0.305948774465509
-0.570388134299542,-0.624307703956639,-0.486960091309407,-0.368759209803162,0.7075038713695634,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.852896691897349,-0.346570712507395
-0.570388134299542,-0.624307703956639,-0.486960091309407,-0.368759209803162,0.0083503378244447,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.9186852801726016,-0.259508305269257
-0.564174019389334,-0.624307703956639,-0.411143351114437,-0.368759209803162,0.4090668344838283,-0.246380605088077,-0.521832175846149,0.0255752009909468,0.5836261669744573,0.8045135089419143
-0.0234056804937516,-0.567877137955571,1.2947333032723891,-0.0924529512684427,0.1796062242759803,-0.246380605088077,-0.521832175846149,0.8196102311700313,0.367028590506069,0.0482808283484514
0.2374140850647987,-0.567877137955571,-0.145784760432042,-0.265144362852642,-0.0042746148829127,3.881805065270669,-0.521832175846149,0.7350241658098103,0.3203790880985196,-0.081282690808206
