休闲POI,办公POI,公共服务POI,交通设施POI,居住POI,grid_id,总POI数量
1,1,0,0,0,2264.0,2
0,2,0,0,0,2265.0,2
0,1,0,1,0,2266.0,2
0,1,0,0,0,2267.0,1
0,0,0,3,0,2271.0,3
0,1,0,0,0,2272.0,1
2,1,0,2,2,2273.0,7
1,2,1,0,0,2274.0,4
10,4,4,6,5,2275.0,29
71,12,47,27,7,2276.0,164
194,15,70,57,19,2277.0,355
160,20,103,36,18,2278.0,337
44,65,55,52,17,2279.0,233
89,32,58,47,20,2280.0,246
89,7,73,30,94,2281.0,293
37,3,39,2,9,2282.0,90
437,44,98,36,14,2283.0,629
68,3,66,28,5,2284.0,170
181,31,101,29,20,2285.0,362
23,27,26,6,14,2286.0,96
10,0,2,10,4,2287.0,26
2,0,1,1,0,2288.0,4
5,0,4,0,0,2289.0,9
0,0,2,0,0,2290.0,2
0,0,1,0,0,2291.0,1
9,2,7,2,0,2292.0,20
17,4,10,17,4,2293.0,52
16,0,7,8,2,2294.0,33
5,3,2,5,1,2295.0,16
167,25,5,12,5,2296.0,214
65,33,8,3,1,2297.0,110
0,5,0,2,3,2298.0,10
0,2,1,0,0,2299.0,3
0,0,5,3,1,2300.0,9
0,0,0,1,3,2301.0,4
11,2,6,4,4,2302.0,27
41,2,10,3,3,2303.0,59
179,28,79,4,21,2304.0,311
34,5,16,2,2,2305.0,59
13,1,4,3,1,2306.0,22
2,3,1,2,1,2307.0,9
9,6,5,4,1,2308.0,25
25,1,5,3,3,2309.0,37
0,1,0,0,0,2310.0,1
0,4,2,2,1,2311.0,9
2,2,1,2,0,2312.0,7
3,0,3,1,0,2313.0,7
1,7,3,0,0,2321.0,11
0,1,0,0,0,2322.0,1
0,1,1,2,0,2323.0,4
0,1,1,0,0,2324.0,2
2,0,0,2,1,2326.0,5
0,2,0,0,0,2327.0,2
1,0,0,0,0,2328.0,1
0,1,0,0,0,2329.0,1
4,0,0,1,0,2330.0,5
1,0,2,5,1,2332.0,9
0,2,4,2,1,2333.0,9
1,1,1,1,0,2334.0,4
0,4,0,0,0,2335.0,4
1,4,0,0,0,2336.0,5
32,4,17,14,4,2337.0,71
44,6,24,10,7,2338.0,91
125,15,60,37,12,2339.0,249
88,32,39,46,19,2340.0,224
29,10,28,24,11,2341.0,102
421,9,109,58,54,2342.0,651
342,24,113,30,110,2343.0,619
32,18,107,14,5,2344.0,176
62,4,60,22,6,2345.0,154
96,21,57,11,9,2346.0,194
77,28,43,6,5,2347.0,159
3,1,2,6,2,2348.0,14
1,1,1,1,1,2349.0,5
5,0,2,1,0,2350.0,8
32,1,30,13,1,2351.0,77
8,2,11,11,5,2352.0,37
31,1,23,10,9,2353.0,74
29,1,9,8,1,2354.0,48
0,0,2,1,1,2355.0,4
1,0,0,0,0,2356.0,1
0,5,2,0,0,2357.0,7
29,5,7,0,1,2358.0,42
2,0,3,5,0,2359.0,10
21,6,11,6,1,2360.0,45
55,10,15,16,14,2361.0,110
4,3,5,14,1,2362.0,27
3,1,8,5,5,2363.0,22
32,25,11,4,14,2364.0,86
97,5,55,5,27,2365.0,189
2,1,2,5,0,2366.0,10
0,1,1,0,0,2367.0,2
6,1,3,4,1,2368.0,15
2,2,4,4,0,2369.0,12
0,2,0,0,0,2370.0,2
0,1,0,0,1,2371.0,2
0,0,1,1,0,2372.0,2
2,2,2,2,0,2374.0,8
