grid_id,休闲_density,办公_density,公共服务_density,交通设施_density,居住_density,total_density
171,0.0,0.0,0.0,8.0,0.0,8.0
172,4.0,4.0,0.0,12.0,4.0,24.0
173,112.0,8.0,88.0,32.0,28.0,268.0
174,336.0,36.0,292.0,100.0,20.0,784.0
175,68.0,32.0,92.0,64.0,32.0,288.0
176,56.0,8.0,16.0,24.0,8.0,112.0
177,424.0,32.0,260.0,92.0,16.0,824.0
178,772.0,124.0,204.0,100.0,16.0,1216.0
179,1608.0,216.0,144.0,68.0,20.0,2056.0
180,540.0,160.0,152.0,72.0,64.0,988.0
181,116.0,76.0,116.0,68.0,28.0,404.0
182,8.0,4.0,16.0,8.0,8.0,44.0
183,72.0,28.0,40.0,8.0,0.0,148.0
184,80.0,28.0,72.0,40.0,20.0,240.0
185,144.0,0.0,104.0,60.0,32.0,340.0
186,260.0,12.0,108.0,44.0,12.0,436.0
187,84.0,16.0,40.0,36.0,12.0,188.0
188,144.0,16.0,140.0,76.0,16.0,392.0
189,72.0,52.0,48.0,36.0,24.0,232.0
190,724.0,60.0,352.0,108.0,76.0,1320.0
191,760.0,36.0,180.0,124.0,72.0,1172.0
192,796.0,92.0,372.0,112.0,80.0,1452.0
193,292.0,40.0,148.0,48.0,56.0,584.0
194,88.0,24.0,68.0,52.0,4.0,236.0
195,272.0,56.0,192.0,64.0,20.0,604.0
196,44.0,88.0,60.0,76.0,8.0,276.0
197,352.0,32.0,140.0,80.0,32.0,636.0
198,232.0,68.0,196.0,76.0,36.0,608.0
199,0.0,0.0,0.0,0.0,0.0,0.0
200,44.0,8.0,12.0,0.0,28.0,92.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,12.0,8.0,0.0,4.0,24.0
203,0.0,12.0,8.0,28.0,0.0,48.0
204,0.0,4.0,0.0,12.0,4.0,20.0
205,28.0,132.0,24.0,96.0,36.0,316.0
206,4.0,20.0,16.0,40.0,4.0,84.0
207,708.0,64.0,352.0,80.0,104.0,1308.0
208,912.0,152.0,664.0,156.0,112.0,1996.0
209,144.0,24.0,116.0,128.0,28.0,440.0
210,8.0,4.0,20.0,20.0,4.0,56.0
211,0.0,8.0,4.0,16.0,16.0,44.0
212,0.0,4.0,4.0,16.0,4.0,28.0
213,0.0,0.0,0.0,4.0,0.0,4.0
214,100.0,12.0,84.0,52.0,16.0,264.0
215,124.0,12.0,60.0,56.0,12.0,264.0
216,8.0,12.0,28.0,28.0,0.0,76.0
217,0.0,8.0,20.0,20.0,12.0,60.0
218,332.0,40.0,216.0,52.0,24.0,664.0
219,260.0,40.0,84.0,52.0,12.0,448.0
220,52.0,44.0,16.0,60.0,4.0,176.0
221,236.0,52.0,104.0,60.0,52.0,504.0
222,100.0,4.0,64.0,40.0,24.0,232.0
223,352.0,28.0,228.0,156.0,24.0,788.0
224,1312.0,256.0,416.0,116.0,52.0,2152.0
225,128.0,16.0,64.0,36.0,32.0,276.0
226,476.0,100.0,212.0,36.0,76.0,900.0
227,160.0,148.0,120.0,76.0,28.0,532.0
228,132.0,72.0,168.0,88.0,40.0,500.0
229,8.0,28.0,20.0,8.0,8.0,72.0
230,52.0,24.0,60.0,40.0,28.0,204.0
231,32.0,16.0,60.0,32.0,4.0,144.0
232,44.0,44.0,92.0,36.0,16.0,232.0
233,120.0,40.0,56.0,56.0,16.0,288.0
234,268.0,100.0,20.0,12.0,8.0,408.0
235,120.0,40.0,100.0,64.0,28.0,352.0
236,76.0,80.0,84.0,104.0,16.0,360.0
237,272.0,64.0,136.0,72.0,32.0,576.0
238,44.0,20.0,20.0,8.0,4.0,96.0
239,40.0,24.0,24.0,28.0,0.0,116.0
240,4.0,20.0,20.0,0.0,4.0,48.0
241,44.0,16.0,48.0,36.0,8.0,152.0
242,0.0,8.0,4.0,0.0,0.0,12.0
243,0.0,8.0,0.0,4.0,4.0,16.0
244,8.0,8.0,4.0,8.0,4.0,32.0
245,0.0,0.0,0.0,0.0,0.0,0.0
246,116.0,72.0,60.0,84.0,12.0,344.0
247,0.0,156.0,8.0,84.0,12.0,260.0
248,52.0,184.0,84.0,92.0,56.0,468.0
249,352.0,280.0,84.0,292.0,80.0,1088.0
250,36.0,160.0,92.0,176.0,52.0,516.0
251,84.0,124.0,52.0,144.0,44.0,448.0
252,4.0,12.0,8.0,20.0,4.0,48.0
253,4.0,8.0,16.0,24.0,4.0,56.0
254,8.0,8.0,0.0,24.0,8.0,48.0
255,12.0,4.0,0.0,12.0,12.0,40.0
256,8.0,0.0,20.0,4.0,0.0,32.0
257,0.0,0.0,8.0,12.0,4.0,24.0
258,20.0,16.0,60.0,48.0,12.0,156.0
259,96.0,20.0,56.0,44.0,24.0,240.0
260,308.0,52.0,268.0,92.0,48.0,768.0
261,4.0,8.0,16.0,20.0,8.0,56.0
262,360.0,32.0,28.0,28.0,4.0,452.0
263,340.0,36.0,76.0,44.0,12.0,508.0
264,232.0,24.0,72.0,12.0,8.0,348.0
265,768.0,96.0,284.0,88.0,68.0,1304.0
266,340.0,52.0,232.0,120.0,64.0,808.0
267,84.0,56.0,52.0,40.0,28.0,260.0
268,292.0,96.0,144.0,92.0,44.0,668.0
269,408.0,64.0,616.0,132.0,104.0,1324.0
270,344.0,260.0,1616.0,32.0,8.0,2260.0
271,0.0,0.0,0.0,0.0,0.0,0.0
272,4.0,0.0,0.0,0.0,0.0,4.0
273,0.0,4.0,4.0,0.0,0.0,8.0
274,0.0,0.0,0.0,4.0,0.0,4.0
275,0.0,0.0,0.0,0.0,0.0,0.0
276,8.0,16.0,20.0,4.0,4.0,52.0
277,52.0,24.0,72.0,68.0,40.0,256.0
278,16.0,16.0,28.0,16.0,0.0,76.0
279,60.0,88.0,52.0,32.0,0.0,232.0
280,112.0,64.0,56.0,12.0,4.0,248.0
281,16.0,44.0,20.0,24.0,12.0,116.0
282,8.0,8.0,28.0,24.0,0.0,68.0
283,404.0,56.0,44.0,48.0,4.0,556.0
284,4.0,4.0,8.0,0.0,0.0,16.0
285,20.0,4.0,12.0,12.0,8.0,56.0
286,0.0,24.0,8.0,28.0,12.0,72.0
287,0.0,56.0,8.0,4.0,0.0,68.0
288,500.0,48.0,232.0,80.0,108.0,968.0
289,4.0,8.0,12.0,24.0,0.0,48.0
290,16.0,96.0,20.0,60.0,28.0,220.0
291,388.0,508.0,176.0,148.0,64.0,1284.0
292,100.0,76.0,120.0,120.0,16.0,432.0
293,52.0,180.0,44.0,92.0,16.0,384.0
294,60.0,28.0,44.0,72.0,12.0,216.0
295,52.0,4.0,76.0,32.0,12.0,176.0
296,176.0,20.0,100.0,116.0,12.0,424.0
297,44.0,8.0,24.0,44.0,4.0,124.0
298,24.0,12.0,32.0,56.0,8.0,132.0
299,8.0,12.0,8.0,12.0,8.0,48.0
300,60.0,12.0,28.0,24.0,48.0,172.0
301,8.0,8.0,4.0,8.0,4.0,32.0
302,104.0,32.0,120.0,108.0,8.0,372.0
303,56.0,4.0,68.0,40.0,8.0,176.0
304,188.0,36.0,76.0,120.0,8.0,428.0
305,272.0,40.0,84.0,72.0,24.0,492.0
306,156.0,20.0,132.0,92.0,12.0,412.0
307,244.0,28.0,176.0,64.0,44.0,556.0
308,212.0,4.0,88.0,64.0,20.0,388.0
309,44.0,24.0,48.0,48.0,12.0,176.0
310,188.0,200.0,212.0,172.0,24.0,796.0
311,1028.0,56.0,544.0,144.0,40.0,1812.0
312,128.0,60.0,424.0,88.0,8.0,708.0
313,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0
315,4.0,0.0,0.0,0.0,0.0,4.0
316,0.0,0.0,4.0,0.0,0.0,4.0
317,0.0,20.0,12.0,0.0,0.0,32.0
318,4.0,68.0,16.0,20.0,4.0,112.0
319,96.0,24.0,264.0,12.0,24.0,420.0
320,12.0,52.0,12.0,8.0,0.0,84.0
321,4.0,16.0,8.0,8.0,0.0,36.0
322,100.0,20.0,96.0,36.0,28.0,280.0
323,4.0,4.0,0.0,0.0,0.0,8.0
324,0.0,0.0,0.0,0.0,0.0,0.0
325,12.0,12.0,0.0,20.0,0.0,44.0
326,4.0,4.0,48.0,0.0,4.0,60.0
327,0.0,28.0,4.0,40.0,0.0,72.0
328,16.0,72.0,32.0,24.0,16.0,160.0
329,104.0,224.0,48.0,76.0,56.0,508.0
330,40.0,148.0,28.0,72.0,48.0,336.0
331,196.0,20.0,52.0,52.0,36.0,356.0
332,4.0,20.0,4.0,28.0,0.0,56.0
333,124.0,244.0,112.0,236.0,76.0,792.0
334,116.0,212.0,136.0,164.0,56.0,684.0
335,412.0,28.0,296.0,128.0,28.0,892.0
336,100.0,24.0,116.0,68.0,20.0,328.0
337,348.0,68.0,240.0,144.0,32.0,832.0
338,268.0,20.0,184.0,64.0,16.0,552.0
339,364.0,0.0,192.0,100.0,20.0,676.0
340,244.0,32.0,180.0,100.0,40.0,596.0
341,144.0,12.0,36.0,60.0,4.0,256.0
342,196.0,20.0,92.0,56.0,40.0,404.0
343,88.0,36.0,136.0,68.0,16.0,344.0
344,128.0,44.0,92.0,44.0,16.0,324.0
345,672.0,88.0,392.0,148.0,28.0,1328.0
346,724.0,56.0,408.0,76.0,116.0,1380.0
347,336.0,52.0,232.0,80.0,32.0,732.0
348,192.0,76.0,168.0,84.0,48.0,568.0
349,116.0,28.0,96.0,48.0,16.0,304.0
350,64.0,32.0,32.0,60.0,8.0,196.0
351,680.0,72.0,352.0,204.0,60.0,1368.0
352,496.0,96.0,184.0,140.0,40.0,956.0
353,76.0,220.0,88.0,76.0,44.0,504.0
354,128.0,20.0,104.0,60.0,12.0,324.0
355,8.0,36.0,28.0,40.0,8.0,120.0
356,0.0,0.0,0.0,0.0,0.0,0.0
357,0.0,0.0,4.0,0.0,0.0,4.0
358,0.0,0.0,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0,0.0,0.0
360,8.0,8.0,8.0,0.0,0.0,24.0
361,8.0,24.0,12.0,12.0,0.0,56.0
362,164.0,52.0,252.0,40.0,16.0,524.0
363,60.0,52.0,64.0,36.0,16.0,228.0
364,44.0,44.0,40.0,24.0,20.0,172.0
365,256.0,56.0,196.0,24.0,32.0,564.0
366,16.0,60.0,12.0,16.0,0.0,104.0
367,4.0,4.0,4.0,8.0,0.0,20.0
368,148.0,60.0,140.0,48.0,8.0,404.0
369,108.0,32.0,284.0,44.0,12.0,480.0
370,8.0,52.0,16.0,24.0,12.0,112.0
371,144.0,28.0,24.0,76.0,32.0,304.0
372,68.0,80.0,20.0,16.0,32.0,216.0
373,52.0,28.0,24.0,0.0,0.0,104.0
374,0.0,4.0,0.0,16.0,0.0,20.0
375,24.0,32.0,68.0,60.0,4.0,188.0
376,0.0,32.0,0.0,28.0,0.0,60.0
377,652.0,792.0,224.0,468.0,212.0,2348.0
378,636.0,140.0,428.0,176.0,56.0,1436.0
379,4.0,0.0,4.0,4.0,40.0,52.0
380,44.0,8.0,36.0,48.0,32.0,168.0
381,668.0,96.0,308.0,128.0,64.0,1264.0
382,168.0,52.0,164.0,72.0,44.0,500.0
383,156.0,200.0,88.0,116.0,32.0,592.0
384,432.0,184.0,476.0,216.0,96.0,1404.0
385,624.0,200.0,192.0,260.0,68.0,1344.0
386,556.0,84.0,180.0,256.0,140.0,1216.0
387,1916.0,116.0,1128.0,276.0,512.0,3948.0
388,448.0,40.0,472.0,172.0,124.0,1256.0
389,704.0,100.0,324.0,148.0,40.0,1316.0
390,524.0,44.0,224.0,172.0,52.0,1016.0
391,192.0,36.0,168.0,116.0,68.0,580.0
392,672.0,112.0,380.0,96.0,40.0,1300.0
393,408.0,180.0,300.0,188.0,92.0,1168.0
394,432.0,124.0,308.0,120.0,40.0,1024.0
395,196.0,144.0,172.0,80.0,60.0,652.0
396,440.0,80.0,292.0,100.0,156.0,1068.0
397,140.0,100.0,176.0,60.0,32.0,508.0
398,396.0,88.0,72.0,116.0,60.0,732.0
399,476.0,32.0,20.0,12.0,0.0,540.0
400,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,8.0,0.0,4.0,0.0,12.0
402,0.0,4.0,0.0,0.0,0.0,4.0
403,0.0,0.0,0.0,4.0,0.0,4.0
404,12.0,4.0,8.0,16.0,4.0,44.0
405,120.0,60.0,36.0,8.0,8.0,232.0
406,336.0,88.0,320.0,36.0,44.0,824.0
407,72.0,52.0,132.0,12.0,20.0,288.0
408,20.0,44.0,192.0,20.0,0.0,276.0
409,8.0,60.0,24.0,8.0,0.0,100.0
410,96.0,36.0,48.0,12.0,12.0,204.0
411,4.0,52.0,16.0,4.0,0.0,76.0
412,24.0,12.0,44.0,12.0,0.0,92.0
413,344.0,36.0,48.0,12.0,4.0,444.0
414,100.0,28.0,8.0,4.0,4.0,144.0
415,288.0,20.0,76.0,36.0,40.0,460.0
416,16.0,8.0,4.0,20.0,4.0,52.0
417,8.0,8.0,0.0,8.0,8.0,32.0
418,0.0,20.0,8.0,24.0,0.0,52.0
419,0.0,0.0,8.0,4.0,0.0,12.0
420,236.0,224.0,224.0,236.0,36.0,956.0
421,104.0,92.0,28.0,96.0,40.0,360.0
422,328.0,464.0,216.0,196.0,116.0,1320.0
423,1296.0,272.0,360.0,232.0,84.0,2244.0
424,20.0,4.0,8.0,44.0,20.0,96.0
425,64.0,36.0,40.0,76.0,12.0,228.0
426,140.0,72.0,136.0,172.0,32.0,552.0
427,100.0,432.0,48.0,296.0,48.0,924.0
428,776.0,148.0,488.0,152.0,112.0,1676.0
429,72.0,376.0,48.0,264.0,120.0,880.0
430,268.0,408.0,240.0,288.0,128.0,1332.0
431,1024.0,340.0,332.0,188.0,200.0,2084.0
432,808.0,152.0,532.0,204.0,120.0,1816.0
433,740.0,68.0,628.0,260.0,92.0,1788.0
434,704.0,52.0,444.0,200.0,80.0,1480.0
435,712.0,80.0,236.0,148.0,92.0,1268.0
436,184.0,24.0,96.0,52.0,40.0,396.0
437,656.0,24.0,136.0,124.0,76.0,1016.0
438,248.0,48.0,84.0,84.0,36.0,500.0
439,44.0,68.0,76.0,48.0,32.0,268.0
440,216.0,68.0,124.0,140.0,56.0,604.0
441,0.0,0.0,0.0,0.0,4.0,4.0
442,0.0,72.0,20.0,8.0,0.0,100.0
443,604.0,272.0,276.0,68.0,100.0,1320.0
444,1204.0,80.0,180.0,76.0,28.0,1568.0
445,0.0,0.0,0.0,0.0,0.0,0.0
446,24.0,0.0,4.0,16.0,0.0,44.0
447,12.0,8.0,4.0,0.0,0.0,24.0
448,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0,8.0,0.0,24.0,0.0,32.0
450,4.0,52.0,8.0,12.0,0.0,76.0
451,16.0,88.0,96.0,32.0,0.0,232.0
452,20.0,76.0,8.0,0.0,0.0,104.0
453,36.0,48.0,16.0,16.0,0.0,116.0
454,8.0,4.0,0.0,0.0,0.0,12.0
455,28.0,32.0,40.0,0.0,0.0,100.0
456,28.0,28.0,16.0,16.0,0.0,88.0
457,0.0,4.0,4.0,8.0,0.0,16.0
458,80.0,20.0,20.0,32.0,0.0,152.0
459,16.0,12.0,0.0,4.0,8.0,40.0
460,0.0,8.0,12.0,8.0,0.0,28.0
461,140.0,16.0,56.0,32.0,108.0,352.0
462,0.0,0.0,4.0,4.0,0.0,8.0
463,16.0,0.0,8.0,20.0,4.0,48.0
464,12.0,4.0,4.0,12.0,0.0,32.0
465,0.0,0.0,0.0,0.0,0.0,0.0
466,1084.0,240.0,588.0,96.0,120.0,2128.0
467,804.0,672.0,176.0,160.0,52.0,1864.0
468,220.0,784.0,152.0,132.0,92.0,1380.0
469,260.0,612.0,268.0,324.0,68.0,1532.0
470,360.0,1384.0,316.0,368.0,116.0,2544.0
471,88.0,16.0,8.0,60.0,12.0,184.0
472,56.0,88.0,56.0,128.0,36.0,364.0
473,360.0,204.0,180.0,364.0,116.0,1224.0
474,224.0,660.0,148.0,248.0,76.0,1356.0
475,720.0,96.0,384.0,124.0,84.0,1408.0
476,500.0,1128.0,308.0,344.0,252.0,2532.0
477,412.0,692.0,172.0,180.0,192.0,1648.0
478,188.0,176.0,164.0,128.0,100.0,756.0
479,156.0,24.0,224.0,152.0,52.0,608.0
480,488.0,24.0,304.0,172.0,88.0,1076.0
481,340.0,28.0,384.0,248.0,64.0,1064.0
482,496.0,136.0,208.0,148.0,80.0,1068.0
483,192.0,72.0,144.0,128.0,36.0,572.0
484,728.0,36.0,268.0,140.0,64.0,1236.0
485,1024.0,64.0,416.0,148.0,52.0,1704.0
486,64.0,124.0,156.0,76.0,24.0,444.0
487,96.0,52.0,92.0,36.0,28.0,304.0
488,112.0,92.0,64.0,44.0,8.0,320.0
489,124.0,72.0,84.0,32.0,24.0,336.0
490,256.0,56.0,140.0,100.0,76.0,628.0
491,8.0,8.0,8.0,20.0,8.0,52.0
492,0.0,0.0,0.0,0.0,0.0,0.0
493,12.0,0.0,0.0,0.0,0.0,12.0
494,20.0,8.0,0.0,4.0,0.0,32.0
495,0.0,0.0,0.0,0.0,0.0,0.0
496,8.0,8.0,4.0,8.0,0.0,28.0
497,4.0,0.0,0.0,0.0,0.0,4.0
498,60.0,44.0,100.0,12.0,0.0,216.0
499,24.0,84.0,12.0,12.0,4.0,136.0
500,4.0,8.0,0.0,4.0,0.0,16.0
501,0.0,24.0,4.0,4.0,0.0,32.0
502,276.0,56.0,56.0,20.0,0.0,408.0
503,20.0,20.0,20.0,4.0,4.0,68.0
504,0.0,0.0,0.0,0.0,0.0,0.0
505,0.0,0.0,24.0,4.0,0.0,28.0
506,0.0,4.0,0.0,0.0,4.0,8.0
507,12.0,12.0,32.0,36.0,4.0,96.0
508,36.0,0.0,24.0,28.0,24.0,112.0
509,12.0,24.0,28.0,12.0,8.0,84.0
510,4.0,24.0,4.0,16.0,0.0,48.0
511,8.0,0.0,8.0,12.0,0.0,28.0
512,4.0,0.0,0.0,0.0,0.0,4.0
513,8.0,24.0,8.0,36.0,8.0,84.0
514,564.0,44.0,352.0,108.0,248.0,1316.0
515,348.0,36.0,212.0,56.0,28.0,680.0
516,188.0,40.0,72.0,68.0,20.0,388.0
517,20.0,16.0,68.0,20.0,0.0,124.0
518,84.0,72.0,76.0,160.0,16.0,408.0
519,100.0,664.0,72.0,124.0,24.0,984.0
520,364.0,84.0,84.0,148.0,44.0,724.0
521,568.0,56.0,264.0,172.0,120.0,1180.0
522,1244.0,60.0,568.0,128.0,88.0,2088.0
523,708.0,936.0,496.0,344.0,164.0,2648.0
524,96.0,220.0,104.0,320.0,88.0,828.0
525,232.0,936.0,200.0,232.0,176.0,1776.0
526,376.0,516.0,240.0,252.0,144.0,1528.0
527,76.0,124.0,108.0,168.0,40.0,516.0
528,624.0,288.0,316.0,208.0,188.0,1624.0
529,124.0,44.0,92.0,132.0,40.0,432.0
530,444.0,188.0,248.0,184.0,68.0,1132.0
531,232.0,40.0,192.0,248.0,52.0,764.0
