adName,大类,wgs84_lng,wgs84_lat,X_CGC2000,Y_CGC2000
新城区,商务住宅,108.99998,34.281111,39386.33064057882,3806181.194815194
新城区,商务住宅,109.000868,34.29014,39517.63430687116,3807180.1261577825
新城区,商务住宅,109.002973,34.266325,39581.433494198485,3804525.1320539466
新城区,商务住宅,109.001017,34.282092,39487.31964296481,3806285.455325533
新城区,商务住宅,109.002088,34.285689,39605.756910090975,3806680.1544973524
新城区,商务住宅,109.001177,34.280908,39495.592917584174,3806153.2065212866
新城区,商务住宅,109.004011,34.261447,39650.49311719299,3803978.5594862206
新城区,商务住宅,108.998093,34.278189,39196.332678564766,3805865.186774756
新城区,商务住宅,109.001584,34.290622,39586.28654443752,3807230.414942911
新城区,商务住宅,109.001517,34.282148,39533.729663824895,3806289.404517346
新城区,商务住宅,108.974188,34.291662,37066.143663155206,3807470.7497116243
新城区,商务住宅,108.99827,34.278461,39214.14349704189,3805894.5967682768
新城区,商务住宅,108.976247,34.278695,37184.64908700244,3806020.915900099
新城区,商务住宅,108.977002,34.29431,37340.15554427728,3807752.049299324
新城区,商务住宅,109.005199,34.260781,39756.42195821763,3803899.1868457394
新城区,商务住宅,109.002717,34.265053,39550.86754725833,3804384.9974219417
新城区,商务住宅,108.999843,34.279733,39366.1546884905,3806028.745280459
新城区,商务住宅,109.002054,34.2816,39580.24621131923,3806226.0919538727
新城区,商务住宅,108.998809,34.278038,39261.529434986645,3805845.1588932313
新城区,商务住宅,108.977964,34.294799,37431.53664754995,3807801.9775337274
新城区,商务住宅,108.998972,34.278466,39278.90317352727,3805891.96153929
新城区,商务住宅,109.002246,34.283156,39606.46419734525,3806398.064469667
新城区,商务住宅,109.001676,34.282874,39552.36358120659,3806369.328269654
新城区,商务住宅,109.002194,34.28241,39597.587441188574,3806315.433004544
新城区,商务住宅,109.000715,34.27942,39444.848526038,3805990.0143380016
新城区,商务住宅,108.974416,34.280655,37026.5927329089,3806247.002360805
新城区,商务住宅,109.000963,34.28038,39472.970582681184,3806095.5270482353
新城区,商务住宅,108.974684,34.293394,37121.4061629292,3807660.8821271043
新城区,商务住宅,108.97492,34.292667,37139.16340262914,3807579.045775915
新城区,商务住宅,109.008014,34.264996,40039.07569798839,3804354.62759304
新城区,商务住宅,109.007107,34.268004,39971.863383363,3804692.877260299
新城区,商务住宅,109.003935,34.258414,39626.9028823289,3803641.991426246
新城区,商务住宅,109.002918,34.244869,39459.05468818627,3802141.9960433687
新城区,商务住宅,109.0041,34.258894,39644.74522861204,3803694.5620718095
新城区,商务住宅,109.002788,34.258393,39520.9966606567,3803644.8654897404
新城区,商务住宅,109.003123,34.259226,39556.44922403828,3803735.8763445592
新城区,商务住宅,109.003466,34.263596,39611.97792076366,3804219.7496680385
新城区,商务住宅,108.974526,34.291656,37097.27354384231,3807468.539179325
新城区,商务住宅,109.002567,34.262724,39524.2967098353,3804126.9672716153
新城区,商务住宅,109.003581,34.260133,39603.65028704266,3803834.5490204487
新城区,商务住宅,109.00144,34.282339,39527.67500221025,3806310.9710977804
新城区,商务住宅,109.00325,34.27298,39643.375249011966,3805263.1286005573
新城区,商务住宅,109.0045,34.260881,39692.49950985884,3803913.467340674
新城区,商务住宅,109.002712,34.266284,39557.13868800481,3804521.7627289956
新城区,商务住宅,109.006538,34.261239,39882.42099161458,3803943.9870294547
新城区,商务住宅,108.970241,34.294471,36717.71171582799,3807800.8246886954
新城区,商务住宅,109.006467,34.264582,39894.14021245373,3804315.6572486456
新城区,商务住宅,109.006327,34.245055,39774.5440545521,3802147.1890148316
新城区,商务住宅,109.013018,34.25977,40472.05321022234,3803751.4287904934
新城区,商务住宅,109.017604,34.276623,40986.92189566989,3805602.7191454936
新城区,商务住宅,109.006946,34.258637,39905.834815934184,3803653.100091977
新城区,商务住宅,109.003587,34.253822,39569.70295572688,3803133.480465402
新城区,商务住宅,108.971982,34.293437,36872.52914972603,3807678.004660679
新城区,商务住宅,108.945477,34.280105,34355.05963406089,3806318.464141066
新城区,商务住宅,108.946568,34.278918,34449.095615177124,3806181.593586897
新城区,商务住宅,108.972762,34.278711,36863.37748359464,3806038.6098795077
新城区,商务住宅,109.005823,34.262318,39822.37333626277,3804067.088877411
新城区,商务住宅,108.973361,34.288872,36974.53757077153,3807164.602331089
