adName,大类,wgs84_lng,wgs84_lat,X_CGC2000,Y_CGC2000
新城区,通行设施,109.004825,34.26712,39756.579110018036,3804605.0354372123
新城区,通行设施,109.011336,34.259411,40314.960738379916,3803719.172347966
新城区,通行设施,109.006943,34.250418,39860.66006415925,3802740.1288729375
新城区,通行设施,109.006923,34.250474,39859.12111016363,3802746.4401912405
新城区,通行设施,108.99611,34.252785,38874.35959987977,3803052.251197673
新城区,通行设施,109.004019,34.266412,39678.37589244405,3804530.047536163
新城区,通行设施,109.001317,34.276279,39483.170835694065,3805638.3687975444
新城区,通行设施,109.003415,34.261868,39597.82603978127,3804028.030666008
新城区,通行设施,109.0057,34.250591,39746.94870559109,3802764.98471014
新城区,通行设施,109.004851,34.266915,39757.856231086946,3804582.1455372116
新城区,通行设施,109.000866,34.269271,39403.23491134809,3804861.9500995716
新城区,通行设施,109.004268,34.260622,39669.68623447482,3803885.7499739383
新城区,通行设施,109.011537,34.261585,40345.36603964085,3803959.753584392
新城区,通行设施,109.009198,34.267643,40162.72840435599,3804643.2924613436
新城区,通行设施,108.995923,34.252208,38853.95193971216,3802989.006439802
新城区,通行设施,109.004092,34.256438,39630.58213758562,3803421.779964067
新城区,通行设施,109.004586,34.247499,39627.29512097116,3802426.572719085
新城区,通行设施,109.011948,34.269007,40423.78674219089,3804782.341267005
新城区,通行设施,109.008389,34.247321,39977.13096212607,3802389.549881314
新城区,通行设施,109.005665,34.24615,39719.457907904056,3802271.827095476
新城区,通行设施,109.006129,34.247564,39769.98432011623,3802426.792495964
新城区,通行设施,109.008174,34.247722,39959.48787485954,3802435.068685689
新城区,通行设施,109.006016,34.247794,39760.817079192784,3802452.8540205485
新城区,通行设施,109.005582,34.246942,39716.12821781181,3802360.180801698
新城区,通行设施,109.007321,34.262324,39960.56464373111,3804060.959254886
新城区,通行设施,109.007536,34.262493,39981.317068958015,3804078.7569089695
新城区,通行设施,109.009143,34.245502,40036.75355676911,3802184.073096069
新城区,通行设施,109.011503,34.272821,40403.57276196324,3805208.02503527
新城区,通行设施,109.005877,34.271376,39876.86125349201,3805073.0277555487
新城区,通行设施,109.007019,34.254955,39892.45322388713,3803243.7641695677
新城区,通行设施,109.005068,34.263092,39756.97128640552,3804156.492696584
新城区,通行设施,109.005737,34.26446,39826.148314174905,3804305.417478003
新城区,通行设施,109.009161,34.263702,40137.79109060229,3804205.68553825
新城区,通行设施,109.005872,34.25602,39792.476826293336,3803367.27012787
新城区,通行设施,109.011695,34.274271,40429.19559091475,3805368.2236535684
新城区,通行设施,109.005723,34.244699,39716.88170782855,3802110.3836085447
新城区,通行设施,109.006557,34.246024,39801.05358717032,3802253.7844350827
新城区,通行设施,109.001771,34.27411,39513.16848077858,3805395.3683687
新城区,通行设施,109.01337,34.272061,40571.59328674438,3805115.1414057473
新城区,通行设施,109.001442,34.270239,39461.650209262734,3804966.8617908717
新城区,通行设施,109.001349,34.270432,39454.1296547876,3804988.723149261
新城区,通行设施,109.013993,34.272542,40631.66983993602,3805165.749042949
新城区,通行设施,109.011454,34.256937,40312.34035495925,3803443.8207703293
新城区,通行设施,109.002986,34.254998,39520.6970652577,3803266.841557077
新城区,通行设施,109.003805,34.252831,39584.394064968335,3803022.4083100786
新城区,通行设施,109.004957,34.258171,39719.8369811218,3803610.3600663124
新城区,通行设施,109.00297,34.256459,39527.20894818817,3803429.205693253
新城区,通行设施,109.002986,34.254998,39520.6970652577,3803266.841557077
新城区,通行设施,109.003275,34.256628,39556.264643556264,3803446.5940551646
新城区,通行设施,109.001812,34.272946,39510.581042358885,3805265.881971659
新城区,通行设施,109.013747,34.272098,40606.56123688497,3805117.5432491447
新城区,通行设施,108.995997,34.254743,38874.655932627094,3803270.2652024813
