grid_id,segment_count,total_length_m
707,5,2245.179761024681
708,20,8057.646402600642
709,83,30110.105329061487
710,153,49755.465378977366
711,187,66919.93057147549
712,315,102180.78352346706
713,308,106340.63459772008
714,440,124621.58154741561
715,491,157548.52437798076
716,400,118046.78464371337
717,555,162953.1133982731
718,566,186275.32063035277
719,845,230243.06747151967
720,676,202468.77689728217
721,630,187903.73757181567
722,489,148931.1865304044
723,390,122371.17427478844
724,265,89363.81618353329
725,306,101167.40481249375
726,283,97073.90481349052
727,358,111776.09937594201
728,162,49549.89399640415
729,146,41479.94922857025
730,185,56935.72937185619
731,252,63376.402804387275
732,327,110955.03361308108
733,224,51604.34505648525
734,27,6920.258533728068
735,13,4070.093734762373
736,10,3066.157482704305
737,18,6131.361140263971
738,10,2344.704354122445
739,7,2300.4956922040615
740,11,3267.0230939512367
741,3,600.4999652279598
742,5,1341.8485702854682
743,8,2821.657238471234
744,15,1811.5610337617834
745,5,1030.688048999644
746,8,1692.8702828618793
747,25,8073.4551249541955
748,19,6528.321656018424
749,12,4157.920506070637
750,24,9198.925583722114
751,36,11181.637144198337
752,27,7100.7811022351925
753,8,2527.2624367419357
754,8,3228.9391768492474
755,8,2571.239228631546
756,35,12916.55465761096
757,134,42574.24698864026
758,173,47904.645727834926
759,227,73641.29677157938
760,249,77951.30952939857
761,355,109634.87968114635
762,349,115800.05355156698
763,459,125001.86159089627
764,519,191398.2475052613
765,649,188398.9690904757
766,587,183028.06913843946
767,478,140432.92046800823
768,279,85577.79365855968
769,531,144431.8415394177
770,552,169779.93032764082
771,601,170791.04058725067
772,514,173183.66085028328
773,620,189842.84717535813
774,514,165668.88691754377
775,515,162643.88789048675
776,187,63975.43889815244
777,125,30067.65850674358
778,143,43103.068685468286
779,191,58628.17658407593
780,251,86635.9590381811
781,217,59369.735086384266
782,75,22905.524161437515
783,86,21053.862405048993
784,24,7548.48379970617
785,23,8936.430711274545
786,19,5751.803608384114
787,16,3633.6753053283223
788,14,4250.066492977293
789,9,4258.938813368561
790,15,4987.489976998537
791,21,5534.30193986317
792,71,20392.125325301775
793,12,4316.093237840773
794,15,4143.493387808342
795,41,8733.315956646231
796,44,11153.983247606706
797,19,7492.895743937055
798,25,10288.22268837119
799,45,15471.007599726745
800,35,9352.210267550781
801,16,4999.837741980646
802,8,3154.4949502149966
803,24,5603.289741341409
804,74,18486.170830786163
805,132,45847.98698157554
806,215,68383.5862838148
807,381,138039.3673519228
808,503,115650.55396224615
809,346,109179.62792327581
810,316,109277.70233250935
811,350,105000.51451452254
812,373,118677.05897710216
813,638,203961.85849851268
814,775,192392.81308847462
815,408,131881.48556250628
816,380,112810.59469349249
817,365,110468.32930786221
818,404,131969.52401025695
819,421,110553.22228208672
820,403,127286.19671449788
821,574,172493.00762850963
822,415,131963.15297840603
823,385,115152.81426526459
824,178,57861.48679145356
825,86,30368.468574966475
826,219,65568.04676740221
827,368,103178.21475230838
828,335,95825.04409540155
829,283,78346.7697896134
830,80,34123.14914076098
831,43,11216.517661873346
832,19,5552.367679616257
833,45,16940.260109498468
834,31,9539.357643287733
835,34,9515.54560024191
836,43,8372.206027199316
837,13,4999.036726263516
838,46,9168.350112215736
839,86,27195.51722029249
840,75,24742.422780177465
841,30,11846.169371076568
842,36,9285.130244323724
843,40,12932.515476526023
844,45,14025.68891496319
845,30,11144.961835373724
846,39,13858.16463429156
847,51,19956.443618892874
848,25,8097.600799733291
849,19,6200.34600061507
850,16,4579.385753748999
851,6,1892.996901513139
852,96,24503.3276294824
853,126,38626.280728574726
854,155,53292.26320136965
855,198,69530.02713309864
856,242,67036.13635857996
857,189,62240.97500579225
858,228,72978.11414251586
859,339,111610.56618960654
860,423,125754.3839445492
861,486,155989.77436648044
862,481,151042.31431699562
863,439,136587.2279637025
864,523,154095.31338072813
865,514,149024.23697854014
866,477,140543.62372322206
867,430,114169.78640395415
868,357,115231.85480623809
869,615,187868.43318400785
870,418,138874.9418611059
871,436,137732.7383234421
872,359,104054.82694352603
873,189,73613.82743910408
874,313,96131.33125189142
875,334,99748.33142107938
876,283,86888.75976806505
877,224,72744.78150308688
878,94,29481.61449800845
879,60,19923.150731788264
880,44,17091.480451416835
881,50,20449.44357654039
882,40,13928.321575933523
883,69,23527.250316209866
884,160,46429.54425985283
885,96,30365.659592612326
886,190,58384.96916092688
887,209,64332.099133943404
888,113,41936.39466696637
889,89,28531.355094074734
890,134,32073.377346513193
891,105,26950.828902844434
892,50,17802.394658963825
893,30,13634.006212100916
894,66,22432.2537270496
895,62,19307.6643669344
896,40,11029.14586922605
897,35,10532.948109273872
898,23,7462.257503036364
899,7,2415.7241630197927
900,0,0.0
901,0,0.0
902,144,42006.86690811822
903,206,54483.85847287283
904,242,83388.26556629101
905,255,96747.97378839021
906,410,113747.03544583866
907,298,95391.03567006759
908,349,108810.19425132095
909,440,132945.7761380836
910,428,143966.92064069008
911,689,214341.91224148803
912,528,180642.74353116803
913,499,132351.36342055723
914,471,145117.52908452976
915,428,136378.53321277106
916,390,120501.67167641918
917,250,95138.25965716485
918,309,91467.56558364387
919,478,145245.35810227814
