osm_id,name,fclass,grid_id,length_m,length_km
235099239,民大路,living_street,1007,300.23178495768434,0.300231784957684
235099240,学院路,living_street,958,231.91213536917257,0.231912135369173
235099241,延大路,living_street,958,300.63105239075105,0.300631052390751
235099241,延大路,living_street,1007,300.63105239075105,0.300631052390751
235101122,农林巷,residential,1005,229.20097085276936,0.229200970852769
235101130,天坛西路,tertiary,957,688.3190945787467,0.688319094578747
235101130,天坛西路,tertiary,1006,688.3190945787467,0.688319094578747
235101132,明德东路,tertiary,957,334.33425995255044,0.33433425995255
235101132,明德东路,tertiary,907,334.33425995255044,0.33433425995255
235101135,明德西路,tertiary,907,659.3646841669042,0.659364684166904
235101135,明德西路,tertiary,857,659.3646841669042,0.659364684166904
235103632,青松路,secondary,959,659.7565971578654,0.659756597157865
235103632,青松路,secondary,909,659.7565971578654,0.659756597157865
235103904,,residential,957,318.1651282257593,0.318165128225759
235103904,,residential,907,318.1651282257593,0.318165128225759
235260925,西八里村巷,residential,1008,360.87268970746857,0.360872689707469
235262495,荐福寺路,tertiary,964,388.36215434789364,0.388362154347894
235262495,荐福寺路,tertiary,1013,388.36215434789364,0.388362154347894
235262496,红专南路,tertiary,1009,907.3963737939413,0.907396373793941
235262496,红专南路,tertiary,1106,907.3963737939413,0.907396373793941
235262496,红专南路,tertiary,1058,907.3963737939413,0.907396373793941
235262496,红专南路,tertiary,1107,907.3963737939413,0.907396373793941
235262497,佳膳坊,residential,1057,482.1947084436049,0.482194708443605
235262497,佳膳坊,residential,1058,482.1947084436049,0.482194708443605
235262921,,living_street,1057,240.5704089436618,0.240570408943662
235264606,,residential,1012,412.3374858536623,0.412337485853662
235264606,,residential,1061,412.3374858536623,0.412337485853662
235264607,,residential,1011,182.82367833174496,0.182823678331745
235264607,,residential,1012,182.82367833174496,0.182823678331745
235264608,长翠路,service,1109,1010.2508066079481,1.010250806607948
235264608,长翠路,service,1061,1010.2508066079481,1.010250806607948
235264608,长翠路,service,1110,1010.2508066079481,1.010250806607948
235264610,安华西路,service,1060,376.232727874583,0.376232727874583
235264610,安华西路,service,1109,376.232727874583,0.376232727874583
235264610,安华西路,service,1061,376.232727874583,0.376232727874583
235264611,安华南路,service,1060,357.593745994799,0.357593745994799
235264611,安华南路,service,1109,357.593745994799,0.357593745994799
235264613,,service,1109,106.7191726886229,0.106719172688623
235264614,后村西路,tertiary,1208,1008.9108127436959,1.008910812743696
235264614,后村西路,tertiary,1311,1008.9108127436959,1.008910812743696
235264614,后村西路,tertiary,1259,1008.9108127436959,1.008910812743696
235264615,英才路,living_street,1158,201.6560119075258,0.201656011907526
235264734,敬业路,residential,1110,112.25843112471479,0.112258431124715
235264735,创新路,residential,1110,392.6444684666801,0.39264446846668
235264735,创新路,residential,1159,392.6444684666801,0.39264446846668
235264736,笃学路,residential,1110,137.66321129945794,0.137663211299458
235264737,团结路,residential,1209,626.5280036612779,0.626528003661278
235264737,团结路,residential,1159,626.5280036612779,0.626528003661278
235264737,团结路,residential,1210,626.5280036612779,0.626528003661278
235266553,西二道巷,unclassified,1165,234.5437751414403,0.23454377514144
235266553,西二道巷,unclassified,1215,234.5437751414403,0.23454377514144
235266554,玄风桥,unclassified,1215,122.62099325022365,0.122620993250224
235266554,玄风桥,unclassified,1266,122.62099325022365,0.122620993250224
235266555,东羊市,tertiary,1215,208.47994505088477,0.208479945050885
235266556,西三道巷,service,1215,296.6748614570226,0.296674861457023
235266557,东七道巷,service,1214,221.86985064782567,0.221869850647826
235266558,建国二巷,service,1266,279.1132999011909,0.279113299901191
235266559,建国三巷,unclassified,1266,280.02855065716267,0.280028550657163
235266560,东九道巷,service,1214,167.39764405061445,0.167397644050614
235266561,西六道巷,service,1214,165.98767466818413,0.165987674668184
235290094,,residential,1328,134.94588685913402,0.134945886859134
235290095,,residential,1327,616.6980876206986,0.616698087620699
235290095,,residential,1328,616.6980876206986,0.616698087620699
235290096,,footway,1276,89.20011167373065,0.089200111673731
235290097,重玄路,tertiary,1328,693.4618975874881,0.693461897587488
235290097,重玄路,tertiary,1276,693.4618975874881,0.693461897587488
235290098,望仙三路,unclassified,1272,519.7228622616399,0.51972286226164
235290098,望仙三路,unclassified,1324,519.7228622616399,0.51972286226164
235290099,,service,1326,350.0316219704855,0.350031621970485
235290099,,service,1274,350.0316219704855,0.350031621970485
235290100,,pedestrian,1271,483.0554685674561,0.483055468567456
235290100,,pedestrian,1272,483.0554685674561,0.483055468567456
235290163,光顺门大街,footway,1174,204.48154467640495,0.204481544676405
235307958,,service,1224,589.0456371336976,0.589045637133698
235307958,,service,1275,589.0456371336976,0.589045637133698
235307959,紫宸东路,footway,1223,663.9326316909409,0.663932631690941
235307959,紫宸东路,footway,1274,663.9326316909409,0.663932631690941
235308631,啤酒路,tertiary,1326,620.3597362487361,0.620359736248736
235308631,啤酒路,tertiary,1380,620.3597362487361,0.620359736248736
235308632,银河坊,tertiary,1379,880.5652309351314,0.880565230935131
235308632,银河坊,tertiary,1326,880.5652309351314,0.880565230935131
235308632,银河坊,tertiary,1380,880.5652309351314,0.880565230935131
235308633,建华路,tertiary,1377,680.6923523206392,0.680692352320639
235308633,建华路,tertiary,1378,680.6923523206392,0.680692352320639
235308634,银河北巷,residential,1380,259.59358184859803,0.259593581848598
