grid_id,碳排放_carbon_emission_kg (kgCO2/KM/d),人口密度 (千人/km²),休闲POI数量 (个),办公POI数量 (个),公共服务POI数量 (个),交通设施POI数量 (个),居住POI数量 (个),道路密度 (KM/KM²),地铁站点数量 (个),公交站点数量 (个),标准化土地混合熵,到市中心距离 (km),到最近公交距离 (km)
66,3.231561106,1.02,0,1,3,12,2,44.83787823,0,0,0.60496209,12.89549478,1.363008348
67,2.2743223,1.02,0,1,0,6,3,87.73852044,0,0,0.557925048,12.72935132,1.205726633
68,6.161269731,1.02,1,1,4,2,2,64.66378919,0,0,0.913864688,12.5808976,1.244894241
69,8.447183959,1.02,8,2,12,13,3,53.56443515,0,0,0.878819223,12.45076639,1.392100943
70,10.01365941,1.02,25,32,22,13,9,8.184965663,0,0,0.945102301,12.33953739,1.583301504
71,8.851866228,1.02,120,25,72,25,13,83.26164195,0,0,0.819467928,12.2477256,1.694538005
72,4.537312691,1.02,63,19,39,28,12,47.67923286,0,0,0.907476128,12.17577027,1.376099496
73,2.61093903,1.02,19,1,20,16,0,73.06606272,0,0,0.7234035,12.12402496,1.189891
74,1.612804672,1.02,106,13,57,33,13,60.7301173,0,0,0.818769651,12.09274909,1.190581784
75,1.149329066,1.02,69,24,74,21,9,45.02566617,0,0,0.852060517,12.08210163,1.180258206
76,1.257982152,1.02,53,53,50,26,6,63.73048655,0,0,0.900730512,12.09213708,1.274406985
77,2.239660315,0.969,8,10,15,12,0,54.0747891,0,0,0.844998886,12.12280407,0.920594478
78,5.288621837,0.969,0,0,0,0,0,17.3653363,0,0,0,12.17394669,0.75556285
79,6.639810368,0.969,118,6,79,23,6,12.3967308,0,0,0.701407931,12.24530838,0.346664297
80,4.159912433,0.969,341,28,122,26,68,28.23226969,0,3,0.730404896,12.33653828,0.131892824
81,3.829552487,0.918,60,5,18,16,2,49.49242091,0,0,0.705276074,12.44719952,0.323676552
82,2.613511007,0.918,35,17,43,9,4,41.72495223,0,0,0.840048053,12.57677921,0.659831012
