grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1037,33462.99661601597,3813520.015138603,203.32413520996366,文景路,200.06760080909186,文景路凤城八路口
1038,33462.99661601597,3814020.015138603,606.0211912681978,凤城九路,85.17005350488449,文景路凤城九路口
1039,33462.99661601597,3814520.015138603,756.8331659492209,凤城九路,138.54649362563396,文景路凤城十路口
1040,33462.99661601597,3815020.015138603,641.8314132821391,凤城十二路,258.2171892654417,文景路凤城十二路口
1041,33462.99661601597,3815520.015138603,563.0930604364333,凤城十二路,320.6713087423246,文景路凤城十二路口
1042,33462.99661601597,3816020.015138603,556.6997825600452,元鼎路,282.6098446381838,公交站_582
1043,33462.99661601597,3816520.015138603,553.3519953118755,元鼎路,217.551075065942,公交站_582
1044,33462.99661601597,3817020.015138603,409.3686991195167,西安北站,609.9560019306753,文景路元朔路口
1045,33462.99661601597,3817520.015138603,433.1754036952261,西安北站,213.30441077733772,西安北站北广场
1046,33462.99661601597,3818020.015138603,612.0182575337205,西安北站,312.9025791540861,西安北站北广场
1047,33462.99661601597,3818520.015138603,1030.287224390704,西安北站,187.61157245115396,公交站_1105
1048,33462.99661601597,3819020.015138603,969.5123366564467,渭河南,319.75046006859407,公交站_1105
1049,33462.99661601597,3819520.015138603,1051.2428474181431,渭河南,818.0969449341322,公交站_1105
1050,33962.99661601597,3795520.015138603,566.749994189339,三爻,1174.233736162483,城南客运站
1051,33962.99661601597,3796020.015138603,608.4697768627127,三爻,897.9516229260116,电视塔
1052,33962.99661601597,3796520.015138603,952.7440308069636,电视塔,469.42771016800447,电视塔
1053,33962.99661601597,3797020.015138603,528.1504052960448,电视塔,366.61646584911307,电视塔
1054,33962.99661601597,3797520.015138603,387.5106617764889,电视塔,329.8739328213242,国展中心
1055,33962.99661601597,3798020.015138603,722.0707550971224,电视塔,374.3953962372327,吴家坟
1056,33962.99661601597,3798520.015138603,572.6786876702671,八里村,308.8207938379354,政法大学
1057,33962.99661601597,3799020.015138603,296.2092130244191,八里村,239.59218788529031,公交站_175
1058,33962.99661601597,3799520.015138603,589.507350632163,八里村,503.02801650356656,公交站_2373
1059,33962.99661601597,3800020.015138603,252.8656567097908,小寨,143.29741581947818,小寨
1060,33962.99661601597,3800520.015138603,427.63904365383684,小寨,96.32064399001214,兴善寺东街西口
1061,33962.99661601597,3801020.015138603,265.4183032496219,体育场,171.45945691082207,南二环长安立交东
1062,33962.99661601597,3801520.015138603,342.7891000624258,体育场,183.66290051202864,草场坡
1063,33962.99661601597,3802020.015138603,209.1477475032556,南稍门,125.69589618843452,南稍门
1064,33962.99661601597,3802520.015138603,345.4473851447489,南稍门,197.29733710129193,南稍门
1065,33962.99661601597,3803020.015138603,82.80535429462581,永宁门,97.31530336954098,南门外
1066,33962.99661601597,3803520.015138603,545.6547574217349,永宁门,53.18172111155326,南门里
1067,33962.99661601597,3804020.015138603,268.3352644504781,钟楼,11.460439842986695,钟楼南
1068,33962.99661601597,3804520.015138603,249.33032894485916,钟楼,61.246225051113484,钟楼北
1069,33962.99661601597,3805020.015138603,364.99082142286335,北大街,265.08331101335034,北大街
1070,33962.99661601597,3805520.015138603,158.9043209694861,北大街,61.224307053881795,北大街
1071,33962.99661601597,3806020.015138603,635.6322082547922,安远门,157.45186993061262,北门外
1072,33962.99661601597,3806520.015138603,181.6365185807946,安远门,113.7494526230279,北关
1073,33962.99661601597,3807020.015138603,402.4367597442351,安远门,164.53646318507532,北稍门
1074,33962.99661601597,3807520.015138603,360.1633332608363,龙首原,282.92418636937623,北稍门
1075,33962.99661601597,3808020.015138603,281.81122082915806,龙首原,112.65122277944658,龙首村
1076,33962.99661601597,3808520.015138603,727.4046341238725,龙首原,128.55941889815142,未央路方新南路口
1077,33962.99661601597,3809020.015138603,365.2520277034205,大明宫西,166.84654113811507,方新村北
1078,33962.99661601597,3809520.015138603,368.9301912106006,大明宫西,190.45604818532698,淳德巷萧家南巷口
1079,33962.99661601597,3810020.015138603,748.6084184010126,青少年中心,252.02510182550935,西安城北客运站
1080,33962.99661601597,3810520.015138603,359.7557782417785,青少年中心,274.0689306632418,市青少年活动中心
1081,33962.99661601597,3811020.015138603,445.45917417405366,青少年中心,316.8309446015082,未央路凤城三路口
1082,33962.99661601597,3811520.015138603,650.0754557508455,凤城五路,347.7133658456643,交通职业技术学院校本部
1083,33962.99661601597,3812020.015138603,406.7880013424073,凤城五路,31.500014964380455,明珠花园
1084,33962.99661601597,3812520.015138603,639.0264923323846,凤城五路,441.17248784379836,文景路凤城六路口
1085,33962.99661601597,3813020.015138603,533.452737679026,行政中心,278.016987996245,行政中心西区
1086,33962.99661601597,3813520.015138603,531.1944186473117,行政中心,223.4749285390378,行政中心西区
1087,33962.99661601597,3814020.015138603,771.3280443335894,凤城十路,237.16062821465476,文景路凤城九路口
1088,33962.99661601597,3814520.015138603,573.4394710088463,凤城十路,176.7246526303339,文景路凤城十路口
1089,33962.99661601597,3815020.015138603,720.4888563305856,北苑,216.7854761988529,凤城北路凤城十二路口
1090,33962.99661601597,3815520.015138603,420.105777736731,北苑,241.13099403893207,文景路凤城十二路口
1091,33962.99661601597,3816020.015138603,577.8179097942639,北苑,318.27445236291067,公交站_554
1092,33962.99661601597,3816520.015138603,689.894498701361,西安北站,119.12979472939894,文景路元朔路口
1093,33962.99661601597,3817020.015138603,220.49582589085063,西安北站,241.95056156801678,西安北站南广场
1094,33962.99661601597,3817520.015138603,95.30093217298702,西安北站,266.5679477557092,西安北站北广场
1095,33962.99661601597,3818020.015138603,442.7275515044547,西安北站,255.45090517602563,西安北站北广场
1096,33962.99661601597,3818520.015138603,840.8020411237596,红会医院北区,405.7965239637827,尚稷路东段
1097,33962.99661601597,3819020.015138603,609.1944107875369,红会医院北区,116.27378900457576,尚稷路东段
1098,33962.99661601597,3819520.015138603,731.6335065534299,红会医院北区,601.9704055498678,尚稷路东段
1099,34462.99661601597,3795520.015138603,1049.345916352917,三爻,1571.6675490067262,电视塔
1100,34462.99661601597,3796020.015138603,1072.4536193273286,三爻,1176.5135539206199,电视塔
1101,34462.99661601597,3796520.015138603,973.8972614060285,大唐不夜城,813.0046242408094,瓦胡同村
1102,34462.99661601597,3797020.015138603,733.5870414714739,大唐不夜城,320.6526873351891,瓦胡同村
1103,34462.99661601597,3797520.015138603,792.3534685073181,大唐不夜城,211.32858953207736,瓦胡同村
1104,34462.99661601597,3798020.015138603,1042.7475830912508,唐城墙遗址公园西,697.4965230106569,瓦胡同村
1105,34462.99661601597,3798520.015138603,934.8842851408123,八里村,372.53633555125094,公交站_176
1106,34462.99661601597,3799020.015138603,796.1078100182499,八里村,220.9866048847321,公交站_176
1107,34462.99661601597,3799520.015138603,945.2865511266201,八里村,114.3473846976037,公交站_186
1108,34462.99661601597,3800020.015138603,728.1401370643575,小寨,88.23879545103127,陕西历史博物馆
1109,34462.99661601597,3800520.015138603,805.6811841652974,小寨,215.46679768798856,省教育学院
1110,34462.99661601597,3801020.015138603,701.074867966493,体育场,58.14541953014513,南二环文艺路口（长安大学）
1111,34462.99661601597,3801520.015138603,651.1215881637451,文艺路,80.80756776635839,建设路文艺路口
