i_id,运营公司id,共享单车编号,经度,纬度,获取时间
36265368,4312,10200326,108.96485665696098,34.256517132121914,2025-08-08 04:38:32
36267964,4312,10200326,108.9654278179792,34.25651552658176,2025-08-08 04:40:40
36270104,4312,10200326,108.96548722382958,34.256871832078524,2025-08-08 04:42:49
36272769,4312,10200326,108.96483312382296,34.25709588475494,2025-08-08 04:44:56
36275137,4312,10200326,108.9649432397258,34.257344977868264,2025-08-08 04:47:04
36277572,4312,10200326,108.96457102574604,34.25751317223227,2025-08-08 04:49:13
36279954,4312,10200326,108.96391325841918,34.25782057343431,2025-08-08 04:51:20
36282381,4312,10200326,108.96481795003368,34.25754012274912,2025-08-08 04:53:28
36284487,4312,10200326,108.9640308552953,34.25731572167472,2025-08-08 04:55:37
36287191,4312,10200326,108.96533000706329,34.25676701379779,2025-08-08 04:57:45
36291062,4312,10200326,108.96537477755038,34.256764851295685,2025-08-08 04:59:53
36292191,4312,10200326,108.96431216746151,34.257846249728225,2025-08-08 05:02:01
36296080,4312,10200326,108.96539652505074,34.257205118602194,2025-08-08 05:04:10
36296999,4312,10200326,108.96647457981578,34.258184233513745,2025-08-08 05:06:17
36299404,4312,10200326,108.96719561551632,34.25882223454135,2025-08-08 05:08:25
36301808,4312,10200326,108.96668986208616,34.25965305188398,2025-08-08 05:10:33
36304185,4312,10200326,108.96722781158408,34.25918053169286,2025-08-08 05:12:41
36306610,4312,10200326,108.96839540012158,34.258494117900334,2025-08-08 05:14:49
36308964,4312,10200326,108.9685906449679,34.25862171222394,2025-08-08 05:16:58
36311416,4312,10200326,108.96944756617576,34.258950222610004,2025-08-08 05:19:06
36313790,4312,10200326,108.96822918800387,34.25829643814054,2025-08-08 05:21:14
36316414,4312,10200326,108.96767822336044,34.258496974117946,2025-08-08 05:23:22
36318534,4312,10200326,108.967048166374,34.257894305312035,2025-08-08 05:25:30
36321226,4312,10200326,108.9660548896132,34.25722258594946,2025-08-08 05:27:38
36325116,4312,10200326,108.96524418166295,34.25772977478953,2025-08-08 05:29:46
36326040,4312,10200326,108.96581662950224,34.25720460665994,2025-08-08 05:31:54
36328424,4312,10200326,108.96700813424258,34.25691264820071,2025-08-08 05:34:02
